task_sizes,naive1,naive2,heuristic
109,299.8953601454305,290.00737333268717,300.00675984057597
61,167.21490030728728,161.72634640660604,160.99830875834016
334,1263.0932981748847,1365.536192950361,1263.0932981748847
178,526.6264369941969,536.9393048992528,527.9834605701844
667,3412.671937866443,4266.712608722848,3412.671937866443
349,1342.4658375068223,1459.4558541151287,1342.4658375068223
1006,6221.588689481473,8805.841388857934,6221.588689481473
520,2379.492810234625,2792.6561146762638,2379.492810234625
1225,8313.37802750781,12590.532362735486,8313.37802750781
631,3148.444638248494,3872.0922172797837,3148.444638248494
1474,10923.46879166659,17702.52017854183,10923.46879166659
760,4126.9196600142695,5338.810753319837,4126.9196600142695
1681,13266.721664935661,22606.826972089682,13266.721664935661
865,4986.509443189601,6705.673756950655,4986.509443189601
361,1409.982736873367,1542.8183386358548,1409.982736873367
187,562.6264369941969,575.2491079576293,563.5998520587661
772,4222.91966001427,5507.687555422922,4222.91966001427
394,1596.6589271066123,1773.559320063189,1596.6589271066123
1189,7955.600478825356,11936.457511704037,7955.600478825356
607,2975.3781770262176,3626.266664073832,2975.3781770262176
1642,12813.289645110624,21670.642277804804,12813.289645110624
838,4760.275687561212,6354.868189060774,4760.275687561212
2095,18385.157887050005,34267.28310837844,18385.157887050005
1069,6803.0911495108485,9822.034570603015,6803.0911495108485
2542,24503.46004834969,49504.99403019004,24503.46004834969
1294,9012.091744703965,13913.470919824013,9012.091744703965
