task_size,naive1,heuristic,upperbound
67,436.0169642297627,497.84545017394436,435.4200232168706,562.7708469792087
219,2520.1464019944856,4169.220151691228,2520.262649633229,2973.0377382079346
134,1212.9748620021217,1689.985680448004,1212.9748620021217,1572.4101055240058
438,7091.521359285227,15683.270420976887,7091.521359285227,8487.810244650329
201,2217.013826103615,3576.6284381896485,2217.013826103615,2622.9340452336774
657,13006.781684008149,34544.27212820063,13006.781684008149,15172.79925989423
133,1199.558454137123,1664.2269077357648,1199.558454137123,1552.1480978582242
437,7067.35526733804,15604.323556697016,7067.35526733804,8456.06282785852
266,3366.7104466995247,6058.953915074957,3366.7104466995247,4382.543317807464
874,19940.472054362515,60438.609389118224,19940.472054362515,24337.112203852954
399,6168.6953485329295,13184.18102201758,6168.6953485329295,7386.888545159946
1311,36602.622867373575,134502.8574972631,36602.622867373575,43253.67208033002
331,4666.07102408972,9188.548905650889,4666.07102408972,6085.949592113272
1091,27796.554115499148,93524.88303907042,27796.554115499148,33958.33376569274
662,13155.240340842545,35264.67678809451,13155.240340842545,17202.91223787014
2182,78541.83604140328,369158.38072227966,78541.83604140328,96303.14555737647
993,24141.41538791344,78228.38364733098,24141.41538791344,29121.81614494891
3273,144242.03288141682,826900.4930496468,144242.03288141685,171805.7556707266
661,13125.508203347912,35144.59048607334,13125.508203347912,17155.469387244757
2181,78487.87309115041,368770.8179737555,78487.87309115041,96211.22029667856
1322,37063.764587411366,137602.54746461293,37063.764587411366,48524.349641490546
4362,221885.0961188776,1465205.0903473431,221885.0961188776,272495.229578027
1983,68052.92134629667,307373.8709356201,68052.92134629667,82294.90669174345
6543,407559.9359576274,3289302.817120784,407559.9359576274,486737.6548789448
