task_size,optimal,naive,heuristic,lowerbound,upperbound
96,741.76531,2084.8846314593184,821.0182723397284,400.38657,1046.4991231437577
156,1527.0645,4871.917301077131,1984.4233657404523,606.64152,2137.3328625647546
176,1821.21973,6575.591368594868,2253.3389020572054,721.58425,2509.025973571689
286,3783.18513,15655.35012566838,5787.776459483404,1098.7852,5078.419918231064
256,3181.41212,13539.194742858603,4356.724483708292,1042.02269,4290.013592488951
416,6628.82593,32511.66583694909,11548.762779302971,1589.98138,8752.848744670884
336,4773.88343,22719.175184120166,7137.84255698509,1362.25348,6626.233946563881
546,9879.20611,54973.96235967135,19254.301221528134,2080.92107,12978.50463368833
416,6567.36645,34569.8819212557,10601.525727601012,1682.39795,9111.817280292473
676,13613.73573,83867.39518426258,28932.63968961094,2571.75466,17760.189968957704
